date,open,high,low,close,vol(btc)
05/16/17 08:00 PM,1736,1736.92,1686.4,1704.97,1164.27
05/16/17 06:00 PM,1739.66,1739.66,1718.3,1730.67,840.85
05/16/17 04:00 PM,1740,1750,1727.32,1739.65,1351.35
05/16/17 02:00 PM,1718.99,1740,1713,1739.01,2385.64
05/16/17 12:00 PM,1714.99,1728.89,1710,1718.99,1250.54
05/16/17 10:00 AM,1701.79,1730,1697,1718.47,1763.58
05/16/17 08:00 AM,1685.14,1714,1681.69,1697.01,1205.46
05/16/17 06:00 AM,1654.01,1700,1648.03,1687.98,1820.01
05/16/17 04:00 AM,1667.42,1692,1641.22,1654.01,1923.94
05/16/17 02:00 AM,1703.99,1708.6,1662,1667.43,982.85
05/16/17 12:00 AM,1706.07,1715.57,1681,1704.91,910
05/15/17 10:00 PM,1729.95,1735,1704.06,1705.48,676.54
05/15/17 08:00 PM,1691.9,1745.54,1691.7,1729.95,1119.69
05/15/17 06:00 PM,1713.05,1728.44,1689.74,1691.9,1456.34
05/15/17 04:00 PM,1713.06,1737.93,1701,1713.49,1392.98
05/15/17 02:00 PM,1745,1745,1685.58,1706.95,2297.07
05/15/17 12:00 PM,1756.36,1757,1734.62,1745,754.41
05/15/17 10:00 AM,1736,1760,1724.89,1756.69,1466.42
05/15/17 08:00 AM,1743.39,1744.73,1682.56,1736,2065.86
05/15/17 06:00 AM,1740,1757,1732.15,1741,789.09
05/15/17 04:00 AM,1750.5,1753.84,1710,1739.34,806.68
05/15/17 02:00 AM,1763,1770.99,1750.5,1750.5,341.02
05/15/17 12:00 AM,1782.3,1784,1761.11,1763,150.69
05/14/17 10:00 PM,1780,1785.02,1770.68,1784,149.15
05/14/17 08:00 PM,1757.56,1792,1757.56,1780,482.52
05/14/17 06:00 PM,1762.33,1776.48,1754.15,1757,280
05/14/17 04:00 PM,1774.72,1783.46,1753,1762.64,516.67
05/14/17 02:00 PM,1790.76,1794.99,1772,1772,240.37
05/14/17 12:00 PM,1785.68,1797.77,1770.11,1785.99,278.87
05/14/17 10:00 AM,1815,1815,1771.96,1777.52,742.95
05/14/17 08:00 AM,1807.5,1815,1795.35,1815,403.58
05/14/17 06:00 AM,1786.85,1808,1778.2,1807.5,525.56
05/14/17 04:00 AM,1781.32,1792.05,1763,1786.72,374.29
05/14/17 02:00 AM,1789.5,1792.49,1763,1775.68,393.78
05/14/17 12:00 AM,1776.8,1796,1769.58,1786.67,429
05/13/17 10:00 PM,1768.94,1777.26,1759,1776.89,454.21
05/13/17 08:00 PM,1721.85,1785.82,1720.91,1771.89,836.18
05/13/17 06:00 PM,1730,1732.98,1713,1720.91,298.83
05/13/17 04:00 PM,1707.52,1734,1699,1727.28,582.19
05/13/17 02:00 PM,1725,1725,1685.69,1710.3,866.74
05/13/17 12:00 PM,1730.5,1744,1719.03,1725.98,514.38
05/13/17 10:00 AM,1708.99,1747,1706,1731.96,741.7
05/13/17 08:00 AM,1677,1715,1672.61,1708.99,729.6
